WEEK,VOLUME_USD
2023-10-09 00:00:00.000,4140525710.39
2023-10-16 00:00:00.000,5487918115.75
2023-10-23 00:00:00.000,8024491451.5
2023-10-30 00:00:00.000,7052019847.51
2023-11-06 00:00:00.000,8844907337.61
2023-11-13 00:00:00.000,9220158190.58
2023-11-20 00:00:00.000,7644879735.5
2023-11-27 00:00:00.000,7149900175.28
2023-12-04 00:00:00.000,9374341323.16
2023-12-11 00:00:00.000,9480666173.19
2023-12-18 00:00:00.000,9017210887.29
2023-12-25 00:00:00.000,8976560417.05
2024-01-01 00:00:00.000,9065502451.21
2024-01-08 00:00:00.000,12535223180.28
2024-01-15 00:00:00.000,7192075492.02
2024-01-22 00:00:00.000,8445769557.67
2024-01-29 00:00:00.000,6949493571.21
2024-02-05 00:00:00.000,7342430252.9
2024-02-12 00:00:00.000,8814653498.53
2024-02-19 00:00:00.000,10136059003.11
2024-02-26 00:00:00.000,15480324295.99
2024-03-04 00:00:00.000,18235524055.08
2024-03-11 00:00:00.000,18501083223.14
2024-03-18 00:00:00.000,16991040607.27
2024-03-25 00:00:00.000,13836764646.18
2024-04-01 00:00:00.000,14769625622.93
2024-04-08 00:00:00.000,19283863727.2
2024-04-15 00:00:00.000,13229621652.95
2024-04-22 00:00:00.000,12166012701.21
2024-04-29 00:00:00.000,3552878758.54
﻿
